,ElemSymbol,AtNum,Charge,Wavelength,IntIlab,Aki,Ei,Ek,gi,gk,IntAtomtrace,Source
496,Fe,26,2,238.2,1440.0,,,,,,,Ilab
497,Te,52,1,238.33,1374.0,,,,,,,Ilab
498,Te,52,1,238.58,1400.0,,,,,,,Ilab
499,Ta,73,2,238.71,724.0,,,,,,,Ilab
500,Lu,71,2,239.22,717.0,,,,,,,Ilab
501,Pb,82,1,239.38,631.0,,,,,,,Ilab
502,Fe,26,2,239.56,1422.0,,,,,,,Ilab
503,Fe,26,2,239.92,1346.0,,,,,,,Ilab
504,Ta,73,2,240.06,778.0,,,,,,,Ilab
505,Bi,83,1,240.09,525.0,,,,,,,Ilab
506,Pb,82,1,240.19,577.0,,,,,,,Ilab
507,Ru,44,2,240.27,666.0,,,,,,,Ilab
508,Fe,26,2,240.49,1391.0,,,,,,,Ilab
509,Fe,26,2,240.67,1330.0,,,,,,,Ilab
510,Fe,26,2,241.05,1359.0,,,,,,,Ilab
511,Fe,26,2,241.05,852.0,,,,,,,Ilab
512,Ag,47,2,241.32,1306.0,,,,,,,Ilab
513,Co,27,2,241.41,1055.0,,,,,,,Ilab
514,Rh,45,2,241.58,438.0,,,,,,,Ilab
515,Co,27,2,241.62,1133.0,,,,,,,Ilab
516,Ge,32,1,241.74,487.0,,,,,,,Ilab
517,Co,27,2,241.77,1102.0,,,,,,,Ilab
518,Ga,31,1,241.87,139.0,,,,,,,Ilab
519,Rh,45,2,242.1,417.0,,,,,,,Ilab
520,Sn,50,1,242.17,947.0,,,,,,,Ilab
521,Y,39,2,242.22,633.0,,,,,,,Ilab
522,Li,3,1,242.54,110.0,,,,,,,Ilab
523,Rh,45,2,242.71,417.0,,,,,,,Ilab
524,Au,79,1,242.8,786.0,,,,,,,Ilab
525,Sn,50,1,242.95,968.0,,,,,,,Ilab
526,Si,14,1,243.52,570.0,,,,,,,Ilab
527,Ag,47,2,243.78,1302.0,,,,,,,Ilab
528,Pt,78,1,244.01,648.0,,,,,,,Ilab
529,Pb,82,1,244.38,501.0,,,,,,,Ilab
530,Pb,82,1,244.62,508.0,,,,,,,Ilab
531,Pd,46,1,244.79,700.0,,,,,,,Ilab
532,Ga,31,1,245.01,-100.0,,,,,,,Ilab
533,Po,84,1,245.01,731.0,,,,,,,Ilab
534,Ru,44,2,245.55,519.0,,,,,,,Ilab
535,Ru,44,2,245.64,501.0,,,,,,,Ilab
536,As,33,1,245.65,514.0,,,,,,,Ilab
537,Ru,44,2,245.66,591.0,,,,,,,Ilab
538,Hf,72,2,246.05,611.0,,,,,,,Ilab
539,Rh,45,2,246.1,450.0,,,,,,,Ilab
540,Hf,72,2,246.42,606.0,,,,,,,Ilab
541,W,74,2,246.65,532.0,,,,,,,Ilab
542,Li,3,1,247.51,230.0,,,,,,,Ilab
543,Rh,45,2,247.56,271.0,,,,,,,Ilab
544,Pb,82,1,247.64,487.0,,,,,,,Ilab
