Identifier,Element,State,Wavelength,Aki,Ei,Ek,gi,gk
La II 338.09,La,II,338.09,133710000.0,0.321,3.987,5.0,3.0
Ce II 394.28,Ce,II,394.28,168050000.0,0.857,4.001,14.0,16.0
Ce II 457.23,Ce,II,457.23,15163000.0,1.482,4.192,8.0,10.0
Ce I 560.13,Ce,I,560.13,46787000.0,0.844,3.057,17.0,17.0
Ce I 569.70,Ce,I,569.7,35843000.0,0.659,2.835,15.0,17.0
Pr II 391.89,Pr,II,391.89,10525000.0,0.971,4.126,9.0,11.0
Pr II 410.07,Pr,II,410.07,83114000.0,0.55,3.573,17.0,19.0
Pr II 417.94,Pr,II,417.94,51979000.0,0.204,3.17,13.0,15.0
Pr I 495.14,Pr,I,495.14,84081000.0,0.0,2.503,10.0,10.0
Nd II 423.24,Nd,II,423.24,15552000.0,0.064,2.992,10.0,12.0
Nd II 430.36,Nd,II,430.36,44000000.0,0.0,2.8802,8.0,10.0
Nd I 488.38,Nd,I,488.38,88000000.0,0.6259,3.1639,17.0,19.0
Nd I 489.69,Nd,I,489.69,59000000.0,0.1399,2.671,11.0,13.0
,Pm,,,,,,,
Sm II 392.24,Sm,II,392.24,21128000.0,0.378,3.539,12.0,12.0
Sm I 476.03,Sm,I,476.03,13000000.0,0.1007,2.7045,5.0,5.0
Sm I 491.04,Sm,I,491.04,55057000.0,0.282,2.806,9.0,7.0
Sm I 551.61,Sm,I,551.61,9519900.0,0.282,2.529,9.0,9.0
Eu II 397.20,Eu,II,397.2,89000000.0,0.207,3.3276,7.0,9.0
Eu II 443.56,Eu,II,443.56,31000000.0,0.207,3.0014,7.0,9.0
Eu I 462.72,Eu,I,462.72,153000000.0,0.0,2.6787,8.0,8.0
Eu I 466.19,Eu,I,466.19,145000000.0,0.0,2.6588,8.0,6.0
Gd II 367.12,Gd,II,367.12,19300000.0,0.079,3.455,,
Gd II 367.12,Gd,II,367.12,19291000.0,0.079,3.455,10.0,12.0
Gd II 409.86,Gd,II,409.86,58176000.0,0.819,3.843,16.0,14.0
Gd I 419.08,Gd,I,419.08,30242000.0,0.124,3.082,11.0,13.0
Tb II 384.87,Tb,II,384.87,54300000.0,0.0,3.2205,17.0,17.0
Dy II 353.17,Dy,II,353.17,156000000.0,0.0,3.5096,18.0,20.0
,Ho,,,,,,,
Er II 349.91,Er,II,349.91,75000000.0,0.0546,3.5969,12.0,10.0
Tm I 388.31,Tm,I,388.31,106000000.0,0.0,3.192,8.0,6.0
Yb II 328.94,Yb,II,328.94,162000000.0,0.0,3.7682,2.0,4.0
Yb II 369.42,Yb,II,369.42,123000000.0,0.0,3.355,2.0,2.0
Yb I 398.80,Yb,I,398.8,192000000.0,0.0,3.1081,1.0,3.0
Lu II 291.14,Lu,II,291.14,242000000.0,1.7605,6.0178,7.0,9.0
Hf I 368.24,Hf,I,368.24,26000000.0,0.0,3.366,5.0,5.0
Hf I 417.46,Hf,I,417.46,4600000.0,0.292,3.262,7.0,7.0
Ta II 240.06,Ta,II,240.06,3796900000.0,0.767,5.93,11.0,13.0
Ta I 468.21,Ta,I,468.21,1500000.0,0.249,2.897,6.0,6.0
W II 259.87,W,II,259.87,31900000.0,1.08,5.85,4.0,4.0
W I 429.46,W,I,429.46,12400000.0,0.3659,3.2521,7.0,5.0
W II 434.81,W,II,434.81,5060000.0,1.6333,4.4839,2.0,2.0
W I 505.33,W,I,505.33,1900000.0,0.2071,2.6599,3.0,3.0
Re I 346.05,Re,I,346.05,31827000.0,0.0,3.582,6.0,6.0
Re I 451.33,Re,I,451.33,252390000.0,2.535,5.282,8.0,8.0
Re I 488.91,Re,I,488.91,1155000.0,0.0,2.535,6.0,8.0
Re I 527.56,Re,I,527.56,303010.0,0.0,2.35,6.0,6.0
,Os,,,,,,,
,Ir,,,,,,,
Pt I 274.76,Pt,I,274.76,,,,,
Pt I 396.63,Pt,I,396.63,,,,,
Au I 242.80,Au,I,242.8,199000000.0,0.0,5.105,2.0,4.0
Au I 267.59,Au,I,267.59,164000000.0,0.0,4.632,2.0,2.0
Au I 312.29,Au,I,312.29,0.0,0.0,5.105,0.0,0.0
Hg I 253.65,Hg,I,253.65,8000000.0,0.0,4.886,1.0,3.0
